,Temp,Enthalpy,Step
842,391.5207,-661897.9,4140000.0
843,393.761,-661836.3,4145000.0
844,392.699,-661863.3,4150000.0
845,393.2764,-661838.8,4155000.0
846,393.4133,-661831.1,4160000.0
847,395.9543,-661816.1,4165000.0
848,396.393,-661742.6,4170000.0
849,397.2216,-661715.2,4175000.0
850,398.1386,-661715.2,4180000.0
851,398.0724,-661723.1,4185000.0
852,398.8384,-661672.4,4190000.0
853,398.8652,-661680.6,4195000.0
854,400.1929,-661629.1,4200000.0
855,400.3296,-661604.1,4205000.0
856,401.1384,-661568.2,4210000.0
857,401.0835,-661575.6,4215000.0
858,402.2575,-661517.4,4220000.0
859,403.5743,-661490.3,4225000.0
860,403.5069,-661499.3,4230000.0
861,402.9565,-661475.6,4235000.0
862,402.7893,-661483.7,4240000.0
863,404.3211,-661447.4,4245000.0
864,406.8301,-661373.3,4250000.0
865,406.653,-661366.6,4255000.0
866,407.2148,-661343.3,4260000.0
867,408.9492,-661328.4,4265000.0
868,408.7343,-661312.9,4270000.0
869,409.5182,-661253.3,4275000.0
870,409.3303,-661296.8,4280000.0
871,409.8581,-661212.8,4285000.0
872,412.7492,-661140.3,4290000.0
873,413.0086,-661144.1,4295000.0
874,413.1965,-661170.2,4300000.0
875,413.0096,-661169.6,4305000.0
876,414.0827,-661083.0,4310000.0
877,413.9393,-661103.9,4315000.0
878,414.1653,-661050.5,4320000.0
879,416.3565,-661053.0,4325000.0
880,416.8309,-661027.1,4330000.0
881,415.655,-661025.3,4335000.0
882,418.2947,-660954.1,4340000.0
883,417.9691,-660961.2,4345000.0
884,418.6601,-660958.4,4350000.0
885,419.2233,-660933.3,4355000.0
886,419.9731,-660861.0,4360000.0
887,421.1137,-660862.1,4365000.0
888,422.0028,-660824.1,4370000.0
889,422.7488,-660795.0,4375000.0
890,423.5831,-660803.0,4380000.0
891,421.8645,-660810.1,4385000.0
892,424.1678,-660773.4,4390000.0
893,427.122,-660697.3,4395000.0
894,424.6916,-660704.7,4400000.0
935,428.1648,-660564.4,4600000.0
936,430.906,-660513.0,4605000.0
937,429.5257,-660551.8,4610000.0
938,429.2849,-660525.6,4615000.0
939,430.9105,-660513.1,4620000.0
940,429.6501,-660549.1,4625000.0
941,429.4378,-660541.9,4630000.0
942,429.1256,-660541.3,4635000.0
943,428.8372,-660552.0,4640000.0
944,428.8372,-660552.0,4640000.0
945,429.8412,-660561.4,4645000.0
946,430.8533,-660481.2,4650000.0
947,429.8395,-660496.1,4655000.0
948,432.0545,-660480.2,4660000.0
949,433.7598,-660408.9,4665000.0
950,435.1742,-660396.6,4670000.0
951,433.6979,-660402.6,4675000.0
952,436.3627,-660367.4,4680000.0
953,433.9714,-660390.3,4685000.0
954,436.1121,-660315.8,4690000.0
955,437.7873,-660287.0,4695000.0
956,437.3648,-660303.6,4700000.0
957,439.5339,-660230.2,4705000.0
958,440.7914,-660191.2,4710000.0
959,439.8744,-660237.2,4715000.0
960,440.8176,-660178.4,4720000.0
961,440.8533,-660155.6,4725000.0
962,440.3872,-660153.2,4730000.0
963,442.4852,-660087.2,4735000.0
964,444.8956,-660046.2,4740000.0
965,442.93,-660066.2,4745000.0
966,443.6996,-660025.5,4750000.0
967,444.1633,-660006.9,4755000.0
968,444.8179,-660002.5,4760000.0
969,447.8992,-659951.2,4765000.0
970,444.5969,-659964.0,4770000.0
971,446.5197,-659923.2,4775000.0
972,447.7089,-659926.4,4780000.0
973,449.3871,-659848.7,4785000.0
974,450.4522,-659852.0,4790000.0
975,447.4092,-659874.0,4795000.0
976,450.6332,-659803.9,4800000.0
977,449.4768,-659792.2,4805000.0
978,448.7118,-659767.4,4810000.0
979,453.0354,-659739.4,4815000.0
980,451.8744,-659725.6,4820000.0
981,453.9986,-659684.3,4825000.0
982,454.5079,-659673.8,4830000.0
983,454.0804,-659684.1,4835000.0
984,454.21,-659632.5,4840000.0
985,456.1175,-659637.7,4845000.0
986,456.0818,-659575.8,4850000.0
987,457.9233,-659550.8,4855000.0
988,457.556,-659535.5,4860000.0
989,456.1062,-659552.7,4865000.0
990,459.2437,-659495.0,4870000.0
991,460.6527,-659481.3,4875000.0
992,460.4201,-659421.6,4880000.0
993,460.4698,-659429.2,4885000.0
994,461.5343,-659390.3,4890000.0
995,459.2056,-659443.7,4895000.0
996,462.6714,-659378.3,4900000.0
997,462.5787,-659345.4,4905000.0
998,465.3546,-659296.8,4910000.0
999,465.6503,-659303.2,4915000.0
1000,464.9354,-659250.7,4920000.0
1001,466.3815,-659209.2,4925000.0
1002,466.8737,-659213.4,4930000.0
1003,466.5144,-659231.4,4935000.0
1004,468.9893,-659119.7,4940000.0
1005,466.6269,-659187.7,4945000.0
1006,468.6274,-659131.4,4950000.0
1007,470.6666,-659095.0,4955000.0
1008,469.0541,-659112.2,4960000.0
1009,471.3744,-659049.1,4965000.0
1010,470.3392,-659071.2,4970000.0
1011,472.533,-659008.8,4975000.0
1052,476.4361,-658840.2,5175000.0
1053,477.3213,-658852.5,5180000.0
1054,475.8944,-658883.4,5185000.0
1055,477.3241,-658839.4,5190000.0
1056,477.7929,-658823.3,5195000.0
1057,477.568,-658795.1,5200000.0
1058,477.3247,-658815.3,5205000.0
1059,478.7254,-658781.0,5210000.0
1060,475.874,-658873.9,5215000.0
1061,475.5138,-658882.4,5220000.0
1062,475.5138,-658882.4,5220000.0
1063,479.2577,-658781.4,5225000.0
1064,477.6504,-658792.2,5230000.0
1065,479.1735,-658776.5,5235000.0
1066,480.7781,-658738.1,5240000.0
1067,481.2566,-658696.0,5245000.0
1068,480.1769,-658761.8,5250000.0
1069,481.9505,-658708.0,5255000.0
1070,482.0359,-658663.7,5260000.0
1071,483.5379,-658635.6,5265000.0
1072,483.7111,-658592.1,5270000.0
1073,483.5751,-658580.4,5275000.0
1074,484.4503,-658553.8,5280000.0
1075,484.2615,-658533.3,5285000.0
1076,485.3334,-658513.9,5290000.0
1077,486.8293,-658486.8,5295000.0
1078,488.1826,-658464.8,5300000.0
1079,488.0202,-658422.5,5305000.0
1080,488.2216,-658393.8,5310000.0
1081,489.4194,-658419.2,5315000.0
1082,490.734,-658371.7,5320000.0
1083,490.1391,-658350.2,5325000.0
1084,491.2643,-658349.1,5330000.0
1085,493.6235,-658274.2,5335000.0
1086,492.5329,-658288.6,5340000.0
1087,492.9946,-658258.6,5345000.0
1088,495.2689,-658184.9,5350000.0
1089,492.7133,-658237.6,5355000.0
1090,496.2146,-658193.0,5360000.0
1091,496.1433,-658170.4,5365000.0
1092,492.5651,-658250.4,5370000.0
1093,497.797,-658081.2,5375000.0
1094,497.4111,-658116.6,5380000.0
1095,499.3359,-658080.4,5385000.0
1096,498.5631,-658074.1,5390000.0
1097,498.1552,-658030.9,5395000.0
1098,499.5753,-657976.7,5400000.0
1099,501.3596,-657986.5,5405000.0
